Country,State,Admin,Lat,Long,Population,Region,Continent
Afghanistan,,,33.93911,67.709953,38928341,Southern Asia,Asia
Albania,,,41.1533,20.1683,2877800,Southern Europe,Europe
Algeria,,,28.0339,1.6596,43851043,Northern Africa,Africa
Andorra,,,42.5063,1.5218,77265,Southern Europe,Europe
Angola,,,-11.2027,17.8739,32866268,Middle Africa,Africa
Antigua and Barbuda,,,17.0608,-61.7964,97928,Caribbean,Latin America and the Caribbean
Argentina,,,-38.4161,-63.6167,45195777,South America,Latin America and the Caribbean
Armenia,,,40.0691,45.0382,2963234,Western Asia,Asia
Austria,,,47.5162,14.5501,9006400,Western Europe,Europe
Azerbaijan,,,40.1431,47.5769,10139175,Western Asia,Asia
Bahamas,,,25.025885,-78.035889,393248,Caribbean,Latin America and the Caribbean
Bahrain,,,26.0275,50.55,1701583,Western Asia,Asia
Bangladesh,,,23.685,90.3563,164689383,Southern Asia,Asia
Barbados,,,13.1939,-59.5432,287371,Caribbean,Latin America and the Caribbean
Belarus,,,53.7098,27.9534,9449321,Eastern Europe,Europe
Belgium,,,50.8333,4.469936,11589616,Western Europe,Europe
Belize,,,17.1899,-88.4976,397621,Central America,Latin America and the Caribbean
Benin,,,9.3077,2.3158,12123198,Western Africa,Africa
Bhutan,,,27.5142,90.4336,771612,Southern Asia,Asia
Bolivia,,,-16.2902,-63.5887,11673029,South America,Latin America and the Caribbean
Bosnia and Herzegovina,,,43.9159,17.6791,3280815,Southern Europe,Europe
Botswana,,,-22.3285,24.6849,2351625,Southern Africa,Africa
Brazil,,,-14.235,-51.9253,212559409,South America,Latin America and the Caribbean
Brunei,,,4.5353,114.7277,437483,South-Eastern Asia,Asia
Bulgaria,,,42.7339,25.4858,6948445,Eastern Europe,Europe
Burkina Faso,,,12.2383,-1.5616,20903278,Western Africa,Africa
Burma,,,21.9162,95.956,54409794,South-Eastern Asia,Asia
Burundi,,,-3.3731,29.9189,11890781,Eastern Africa,Africa
Cabo Verde,,,16.5388,-23.0418,555988,Western Africa,Africa
Cambodia,,,11.55,104.9167,16718971,South-Eastern Asia,Asia
Cameroon,,,3.848,11.5021,26545864,Middle Africa,Africa
Central African Republic,,,6.6111,20.9394,4829764,Middle Africa,Africa
Chad,,,15.4542,18.7322,16425859,Middle Africa,Africa
Chile,,,-35.6751,-71.543,19116209,South America,Latin America and the Caribbean
Colombia,,,4.5709,-74.2973,50882884,South America,Latin America and the Caribbean
Congo (Brazzaville),,,-4.2634,15.2832,5518092,Middle Africa,Africa
Congo (Kinshasa),,,-4.322447,15.307045,89561404,Middle Africa,Africa
Costa Rica,,,9.7489,-83.7534,5094114,Central America,Latin America and the Caribbean
Cote d'Ivoire,,,7.54,-5.5471,26378275,Western Africa,Africa
Croatia,,,45.1,15.2,4105268,Southern Europe,Europe
Cuba,,,21.521757,-77.781167,11326616,Caribbean,Latin America and the Caribbean
Cyprus,,,35.1264,33.4299,1207361,Western Asia,Asia
Czechia,,,49.8175,15.473,10708982,Eastern Europe,Europe
Denmark,,,56.2639,9.5018,5792203,Northern Europe,Europe
Diamond Princess,,,0,0,,Other,Other
Djibouti,,,11.8251,42.5903,988002,Eastern Africa,Africa
Dominica,,,15.415,-61.371,71991,Caribbean,Latin America and the Caribbean
Dominican Republic,,,18.7357,-70.1627,10847904,Caribbean,Latin America and the Caribbean
Ecuador,,,-1.8312,-78.1834,17643060,South America,Latin America and the Caribbean
Egypt,,,26.820553,30.802498,102334403,Northern Africa,Africa
El Salvador,,,13.7942,-88.8965,6486201,Central America,Latin America and the Caribbean
Equatorial Guinea,,,1.6508,10.2679,1402985,Middle Africa,Africa
Eritrea,,,15.1794,39.7823,3546427,Eastern Africa,Africa
Estonia,,,58.5953,25.0136,1326539,Northern Europe,Europe
Eswatini,,,-26.5225,31.4659,1160164,Southern Africa,Africa
Ethiopia,,,9.145,40.4897,114963583,Eastern Africa,Africa
Fiji,,,-17.7134,178.065,896444,Melanesia,Oceania
Finland,,,61.92411,25.748151,5540718,Northern Europe,Europe
France,,,46.2276,2.2137,65273512,Western Europe,Europe
Gabon,,,-0.8037,11.6094,2225728,Middle Africa,Africa
Gambia,,,13.4432,-15.3101,2416664,Western Africa,Africa
Georgia,,,42.3154,43.3569,3989175,Western Asia,Asia
Germany,,,51.165691,10.451526,83783945,Western Europe,Europe
Ghana,,,7.9465,-1.0232,31072945,Western Africa,Africa
Greece,,,39.0742,21.8243,10423056,Southern Europe,Europe
Grenada,,,12.1165,-61.679,112519,Caribbean,Latin America and the Caribbean
Guatemala,,,15.7835,-90.2308,17915567,Central America,Latin America and the Caribbean
Guinea,,,9.9456,-9.6966,13132792,Western Africa,Africa
Guinea-Bissau,,,11.8037,-15.1804,1967998,Western Africa,Africa
Guyana,,,4.860416,-58.93018,786559,South America,Latin America and the Caribbean
Haiti,,,18.9712,-72.2852,11402533,Caribbean,Latin America and the Caribbean
Holy See,,,41.9029,12.4534,809,Southern Europe,Europe
Honduras,,,15.2,-86.2419,9904608,Central America,Latin America and the Caribbean
Hungary,,,47.1625,19.5033,9660350,Eastern Europe,Europe
Iceland,,,64.9631,-19.0208,341250,Northern Europe,Europe
India,,,20.593684,78.96288,1380004385,Southern Asia,Asia
Indonesia,,,-0.7893,113.9213,273523621,South-Eastern Asia,Asia
Iran,,,32.427908,53.688046,83992953,Western Asia,Asia
Iraq,,,33.223191,43.679291,40222503,Western Asia,Asia
Ireland,,,53.1424,-7.6921,4937796,Northern Europe,Europe
Israel,,,31.046051,34.851612,8655541,Western Asia,Asia
Italy,,,41.87194,12.56738,60461828,Southern Europe,Europe
Jamaica,,,18.1096,-77.2975,2961161,Caribbean,Latin America and the Caribbean
Japan,,,36.204824,138.252924,126476458,Eastern Asia,Asia
Jordan,,,31.24,36.51,10203140,Western Asia,Asia
Kazakhstan,,,48.0196,66.9237,18776707,Central Asia,Asia
Kenya,,,-0.0236,37.9062,53771300,Eastern Africa,Africa
"Korea, South",,,35.907757,127.766922,51269183,Eastern Asia,Asia
Kosovo,,,42.602636,20.902977,1810366,Southern Europe,Europe
Kuwait,,,29.31166,47.481766,4270563,Western Asia,Asia
Kyrgyzstan,,,41.20438,74.766098,6524191,Central Asia,Asia
Laos,,,19.85627,102.495496,7275556,South-Eastern Asia,Asia
Latvia,,,56.8796,24.6032,1886202,Northern Europe,Europe
Lebanon,,,33.8547,35.8623,6825442,Western Asia,Asia
Liberia,,,6.428055,-9.429499,5057677,Western Africa,Africa
Libya,,,26.3351,17.228331,6871287,Northern Africa,Africa
Liechtenstein,,,47.14,9.55,38137,Western Europe,Europe
Lithuania,,,55.1694,23.8813,2722291,Northern Europe,Europe
Luxembourg,,,49.8153,6.1296,625976,Western Europe,Europe
Madagascar,,,-18.766947,46.869107,27691019,Eastern Africa,Africa
Malawi,,,-13.2543,34.3015,19129955,Eastern Africa,Africa
Malaysia,,,4.210484,101.975766,32365998,South-Eastern Asia,Asia
Maldives,,,3.2028,73.2207,540542,Southern Asia,Asia
Mali,,,17.570692,-3.996166,20250834,Western Africa,Africa
Malta,,,35.9375,14.3754,441539,Southern Europe,Europe
Mauritania,,,21.0079,-10.9408,4649660,Western Africa,Africa
Mauritius,,,-20.348404,57.552152,1271767,Eastern Africa,Africa
Mexico,,,23.6345,-102.5528,128932753,Central America,Latin America and the Caribbean
Moldova,,,47.4116,28.3699,4033963,Eastern Europe,Europe
Monaco,,,43.7333,7.4167,39244,Western Europe,Europe
Mongolia,,,46.8625,103.8467,3278292,Eastern Asia,Asia
Montenegro,,,42.708678,19.37439,628062,Southern Europe,Europe
Morocco,,,31.7917,-7.0926,36910558,Northern Africa,Africa
Mozambique,,,-18.665695,35.529562,31255435,Eastern Africa,Africa
MS Zaandam,,,0,0,,Other,Other
Namibia,,,-22.9576,18.4904,2540916,Southern Africa,Africa
Nepal,,,28.1667,84.25,29136808,Southern Asia,Asia
Netherlands,,,52.1326,5.2913,17134873,Western Europe,Europe
New Zealand,,,-40.9006,174.886,4822233,Australia/New Zealand,Oceania
Nicaragua,,,12.865416,-85.207229,6624554,Central America,Latin America and the Caribbean
Niger,,,17.607789,8.081666,24206636,Western Africa,Africa
Nigeria,,,9.082,8.6753,206139587,Western Africa,Africa
North Macedonia,,,41.6086,21.7453,2083380,Southern Europe,Europe
Norway,,,60.472,8.4689,5421242,Northern Europe,Europe
Oman,,,21.512583,55.923255,5106622,Western Asia,Asia
Pakistan,,,30.3753,69.3451,220892331,Southern Asia,Asia
Panama,,,8.538,-80.7821,4314768,Central America,Latin America and the Caribbean
Papua New Guinea,,,-6.314993,143.95555,8947027,Melanesia,Oceania
Paraguay,,,-23.4425,-58.4438,7132530,South America,Latin America and the Caribbean
Peru,,,-9.19,-75.0152,32971846,South America,Latin America and the Caribbean
Philippines,,,12.879721,121.774017,109581085,South-Eastern Asia,Asia
Poland,,,51.9194,19.1451,37846605,Eastern Europe,Europe
Portugal,,,39.3999,-8.2245,10196707,Southern Europe,Europe
Qatar,,,25.3548,51.1839,2881060,Western Asia,Asia
Romania,,,45.9432,24.9668,19237682,Eastern Europe,Europe
Russia,,,61.52401,105.318756,145934460,Central Asia,Asia
Rwanda,,,-1.9403,29.8739,12952209,Eastern Africa,Africa
Saint Kitts and Nevis,,,17.357822,-62.782998,53192,Caribbean,Latin America and the Caribbean
Saint Lucia,,,13.9094,-60.9789,183629,Caribbean,Latin America and the Caribbean
Saint Vincent and the Grenadines,,,12.9843,-61.2872,110947,Caribbean,Latin America and the Caribbean
San Marino,,,43.9424,12.4578,33938,Southern Europe,Europe
Sao Tome and Principe,,,0.1864,6.6131,219161,Middle Africa,Africa
Saudi Arabia,,,23.885942,45.079162,34813867,Western Asia,Asia
Senegal,,,14.4974,-14.4524,16743930,Western Africa,Africa
Serbia,,,44.0165,21.0059,8737370,Southern Europe,Europe
Seychelles,,,-4.6796,55.492,98340,Eastern Africa,Africa
Sierra Leone,,,8.460555,-11.779889,7976985,Western Africa,Africa
Singapore,,,1.2833,103.8333,5850343,South-Eastern Asia,Asia
Slovakia,,,48.669,19.699,5459643,Eastern Europe,Europe
Slovenia,,,46.1512,14.9955,2078932,Southern Europe,Europe
Somalia,,,5.152149,46.199616,15893219,Eastern Africa,Africa
South Africa,,,-30.5595,22.9375,59308690,Southern Africa,Africa
South Sudan,,,6.877,31.307,11193729,Eastern Africa,Africa
Spain,,,40.463667,-3.74922,46754783,Southern Europe,Europe
Sri Lanka,,,7.873054,80.771797,21413250,Southern Asia,Asia
Sudan,,,12.8628,30.2176,43849269,Northern Africa,Africa
Suriname,,,3.9193,-56.0278,586634,South America,Latin America and the Caribbean
Sweden,,,60.128161,18.643501,10099270,Northern Europe,Europe
Switzerland,,,46.8182,8.2275,8654618,Western Europe,Europe
Syria,,,34.802075,38.996815,17500657,Western Asia,Asia
Taiwan*,,,23.7,121,23816775,Eastern Asia,Asia
Tanzania,,,-6.369028,34.888822,59734213,Eastern Africa,Africa
Thailand,,,15.870032,100.992541,69799978,South-Eastern Asia,Asia
Timor-Leste,,,-8.874217,125.727539,1318442,South-Eastern Asia,Asia
Togo,,,8.6195,0.8248,8278737,Western Africa,Africa
Trinidad and Tobago,,,10.6918,-61.2225,1399491,Caribbean,Latin America and the Caribbean
Tunisia,,,33.886917,9.537499,11818618,Northern Africa,Africa
Turkey,,,38.9637,35.2433,84339067,Western Asia,Asia
Uganda,,,1.373333,32.290275,45741000,Eastern Africa,Africa
Ukraine,,,48.3794,31.1656,43733759,Eastern Europe,Europe
United Arab Emirates,,,23.424076,53.847818,9890400,Western Asia,Asia
United Kingdom,,,55.3781,-3.436,67886004,Northern Europe,Europe
Uruguay,,,-32.5228,-55.7658,3473727,South America,Latin America and the Caribbean
Uzbekistan,,,41.377491,64.585262,33469199,Central Asia,Asia
Venezuela,,,6.4238,-66.5897,28435943,South America,Latin America and the Caribbean
Vietnam,,,14.058324,108.277199,97338583,South-Eastern Asia,Asia
West Bank and Gaza,,,31.9522,35.2332,5101416,Western Asia,Asia
Western Sahara,,,24.2155,-12.8858,597330,Northern Africa,Africa
Yemen,,,15.552727,48.516388,29825968,Western Asia,Asia
Zambia,,,-13.133897,27.849332,18383956,Eastern Africa,Africa
Zimbabwe,,,-19.015438,29.154857,14862927,Eastern Africa,Africa
Denmark,Faroe Islands,,61.8926,-6.9118,48865,Northern Europe,Europe
Denmark,Greenland,,71.7069,-42.6043,56772,Northern Europe,Europe
France,French Guiana,,4,-53,298682,Western Europe,Europe
France,French Polynesia,,-17.6797,149.4068,280904,Western Europe,Europe
France,Guadeloupe,,16.265,-61.551,400127,Western Europe,Europe
France,Martinique,,14.6415,-61.0242,375265,Western Europe,Europe
France,Mayotte,,-12.8275,45.166244,272813,Western Europe,Europe
France,New Caledonia,,-20.904305,165.618042,285491,Western Europe,Europe
France,Reunion,,-21.1151,55.5364,895308,Western Europe,Europe
France,Saint Barthelemy,,17.9,-62.8333,9885,Western Europe,Europe
France,Saint Pierre and Miquelon,,46.8852,-56.3159,5795,Western Europe,Europe
France,St Martin,,18.0708,-63.0501,38659,Western Europe,Europe
Netherlands,Aruba,,12.5211,-69.9683,106766,Western Europe,Europe
Netherlands,Curacao,,12.1696,-68.99,164100,Western Europe,Europe
Netherlands,Sint Maarten,,18.0425,-63.0548,42882,Western Europe,Europe
Netherlands,"Bonaire, Sint Eustatius and Saba",,12.1784,-68.2385,26221,Western Europe,Europe
United Kingdom,Anguilla,,18.2206,-63.0686,15002,Northern Europe,Europe
United Kingdom,Bermuda,,32.3078,-64.7505,62273,Northern Europe,Europe
United Kingdom,British Virgin Islands,,18.4207,-64.64,30237,Northern Europe,Europe
United Kingdom,Cayman Islands,,19.3133,-81.2546,65720,Northern Europe,Europe
United Kingdom,Channel Islands,,49.3723,-2.3644,170499,Northern Europe,Europe
United Kingdom,Falkland Islands (Malvinas),,-51.7963,-59.5236,3483,Northern Europe,Europe
United Kingdom,Gibraltar,,36.1408,-5.3536,33691,Northern Europe,Europe
United Kingdom,Isle of Man,,54.2361,-4.5481,85032,Northern Europe,Europe
United Kingdom,Montserrat,,16.742498,-62.187366,4999,Northern Europe,Europe
United Kingdom,Turks and Caicos Islands,,21.694,-71.7979,38718,Northern Europe,Europe
Australia,,,-25,133,25459700,Australia/New Zealand,Oceania
Australia,Australian Capital Territory,,-35.4735,149.0124,428100,Australia/New Zealand,Oceania
Australia,New South Wales,,-33.8688,151.2093,8118000,Australia/New Zealand,Oceania
Australia,Northern Territory,,-12.4634,130.8456,245600,Australia/New Zealand,Oceania
Australia,Queensland,,-27.4698,153.0251,5115500,Australia/New Zealand,Oceania
Australia,South Australia,,-34.9285,138.6007,1756500,Australia/New Zealand,Oceania
Australia,Tasmania,,-42.8821,147.3272,535500,Australia/New Zealand,Oceania
Australia,Victoria,,-37.8136,144.9631,6629900,Australia/New Zealand,Oceania
Australia,Western Australia,,-31.9505,115.8605,2630600,Australia/New Zealand,Oceania
Canada,,,60,-95,37855702,Northern America,Northern America
Canada,Alberta,,53.9333,-116.5765,4413146,Northern America,Northern America
Canada,British Columbia,,53.7267,-127.6476,5110917,Northern America,Northern America
Canada,Manitoba,,53.7609,-98.8139,1377517,Northern America,Northern America
Canada,New Brunswick,,46.5653,-66.4619,779993,Northern America,Northern America
Canada,Newfoundland and Labrador,,53.1355,-57.6604,521365,Northern America,Northern America
Canada,Northwest Territories,,64.8255,-124.8457,44904,Northern America,Northern America
Canada,Nova Scotia,,44.682,-63.7443,977457,Northern America,Northern America
Canada,Ontario,,51.2538,-85.3232,14711827,Northern America,Northern America
Canada,Prince Edward Island,,46.5107,-63.4168,158158,Northern America,Northern America
Canada,Quebec,,52.9399,-73.5491,8537674,Northern America,Northern America
Canada,Saskatchewan,,52.9399,-106.4509,1181666,Northern America,Northern America
Canada,Yukon,,64.2823,-135,41078,Northern America,Northern America
Canada,Diamond Princess,,60,-95,,Other,Other
Canada,Grand Princess,,60,-95,,Other,Other
Canada,Recovered,,60,-95,,Other,Other
China,,,30.5928,114.3055,1404676330,Eastern Asia,Asia
China,Anhui,,31.8257,117.2264,63240000,Eastern Asia,Asia
China,Beijing,,40.1824,116.4142,21540000,Eastern Asia,Asia
China,Chongqing,,30.0572,107.874,31020000,Eastern Asia,Asia
China,Fujian,,26.0789,117.9874,39410000,Eastern Asia,Asia
China,Gansu,,37.8099,101.0583,26370000,Eastern Asia,Asia
China,Guangdong,,23.3417,113.4244,113460000,Eastern Asia,Asia
China,Guangxi,,23.8298,108.7881,49260000,Eastern Asia,Asia
China,Guizhou,,26.8154,106.8748,36000000,Eastern Asia,Asia
China,Hainan,,19.1959,109.7453,9340000,Eastern Asia,Asia
China,Hebei,,39.549,116.1306,75560000,Eastern Asia,Asia
China,Heilongjiang,,47.862,127.7615,37730000,Eastern Asia,Asia
China,Henan,,33.882,113.614,96050000,Eastern Asia,Asia
China,Hubei,,30.9756,112.2707,59170000,Eastern Asia,Asia
China,Hunan,,27.6104,111.7088,68990000,Eastern Asia,Asia
China,Inner Mongolia,,44.0935,113.9448,25340000,Eastern Asia,Asia
China,Jiangsu,,32.9711,119.455,80510000,Eastern Asia,Asia
China,Jiangxi,,27.614,115.7221,46480000,Eastern Asia,Asia
China,Jilin,,43.6661,126.1923,27040000,Eastern Asia,Asia
China,Liaoning,,41.2956,122.6085,43590000,Eastern Asia,Asia
China,Ningxia,,37.2692,106.1655,6880000,Eastern Asia,Asia
China,Qinghai,,35.7452,95.9956,6030000,Eastern Asia,Asia
China,Shaanxi,,35.1917,108.8701,38640000,Eastern Asia,Asia
China,Shandong,,36.3427,118.1498,100470000,Eastern Asia,Asia
China,Shanghai,,31.202,121.4491,24240000,Eastern Asia,Asia
China,Shanxi,,37.5777,112.2922,37180000,Eastern Asia,Asia
China,Sichuan,,30.6171,102.7103,83410000,Eastern Asia,Asia
China,Tianjin,,39.3054,117.323,15600000,Eastern Asia,Asia
China,Tibet,,31.6927,88.0924,3440000,Eastern Asia,Asia
China,Xinjiang,,41.1129,85.2401,24870000,Eastern Asia,Asia
China,Yunnan,,24.974,101.487,48300000,Eastern Asia,Asia
China,Zhejiang,,29.1832,120.0934,57370000,Eastern Asia,Asia
China,Hong Kong,,22.3,114.2,7496988,Eastern Asia,Asia
China,Macau,,22.1667,113.55,649342,Eastern Asia,Asia
US,,,40,-100,329466283,Northern America,Northern America
US,American Samoa,,-14.271,-170.132,55641,Melanesia,Oceania
US,Guam,,13.4443,144.7937,164229,Melanesia,Oceania
